experiment,epoch,timestamp,source,grad_norm,train_loss,lr
0028_20260917_dino_lr_half,102,20260918-073355,log_195710.txt,0.8607,1.5614,0.000914
0028_20260917_dino_lr_half,103,20260918-074042,log_195710.txt,0.8694,1.5625,0.000912
0028_20260917_dino_lr_half,104,20260918-074728,log_195710.txt,0.9301,1.5763,0.00091
0028_20260917_dino_lr_half,105,20260918-075416,log_195710.txt,0.8806,1.5685,0.000908
0028_20260917_dino_lr_half,106,20260918-080120,log_195710.txt,0.8988,1.5644,0.000907
0028_20260917_dino_lr_half,107,20260918-080807,log_195710.txt,0.904,1.5666,0.000905
0028_20260917_dino_lr_half,108,20260918-081453,log_195710.txt,0.908,1.5664,0.000903
0028_20260917_dino_lr_half,109,20260918-082139,log_195710.txt,0.8997,1.5667,0.000901
0028_20260917_dino_lr_half,110,20260918-082826,log_195710.txt,0.9133,1.5651,0.000899
0028_20260917_dino_lr_half,111,20260918-083530,log_195710.txt,0.9048,1.5656,0.000897
0028_20260917_dino_lr_half,112,20260918-084216,log_195710.txt,0.912,1.565,0.000895
0028_20260917_dino_lr_half,113,20260918-084902,log_195710.txt,0.9242,1.5679,0.000893
0028_20260917_dino_lr_half,114,20260918-085549,log_195710.txt,0.9292,1.5668,0.000891
0028_20260917_dino_lr_half,115,20260918-090236,log_195710.txt,0.934,1.5674,0.000889
0028_20260917_dino_lr_half,116,20260918-090942,log_195710.txt,0.9611,1.5718,0.000887
0028_20260917_dino_lr_half,117,20260918-091629,log_195710.txt,0.9139,1.5661,0.000885
0028_20260917_dino_lr_half,118,20260918-092316,log_195710.txt,0.9341,1.5646,0.000882
0028_20260917_dino_lr_half,119,20260918-093002,log_195710.txt,0.938,1.5669,0.00088
0028_20260917_dino_lr_half,120,20260918-093650,log_195710.txt,0.9663,1.5692,0.000878
0028_20260917_dino_lr_half,121,20260918-094355,log_195710.txt,0.9385,1.5659,0.000876
0028_20260917_dino_lr_half,122,20260918-095041,log_195710.txt,0.9742,1.5743,0.000874
0028_20260917_dino_lr_half,123,20260918-095728,log_195710.txt,0.9273,1.5643,0.000872
0028_20260917_dino_lr_half,124,20260918-100414,log_195710.txt,0.9586,1.5672,0.00087
0028_20260917_dino_lr_half,125,20260918-101101,log_195710.txt,0.9528,1.5664,0.000867
0028_20260917_dino_lr_half,126,20260918-101807,log_195710.txt,0.9863,1.5712,0.000865
0028_20260917_dino_lr_half,127,20260918-102453,log_195710.txt,0.9796,1.5677,0.000863
0028_20260917_dino_lr_half,128,20260918-103139,log_195710.txt,1.0113,1.5739,0.000861
0028_20260917_dino_lr_half,129,20260918-103825,log_195710.txt,1.0215,1.5727,0.000858
0028_20260917_dino_lr_half,130,20260918-104512,log_195710.txt,1.0035,1.5721,0.000856
0028_20260917_dino_lr_half,131,20260918-105217,log_195710.txt,1.0365,1.5723,0.000854
0028_20260917_dino_lr_half,132,20260918-105904,log_195710.txt,0.9924,1.5697,0.000851
0028_20260917_dino_lr_half,133,20260918-110550,log_195710.txt,0.9945,1.5707,0.000849
0028_20260917_dino_lr_half,134,20260918-111237,log_195710.txt,0.976,1.568,0.000847
0028_20260917_dino_lr_half,135,20260918-111923,log_195710.txt,0.997,1.5715,0.000844
0028_20260917_dino_lr_half,136,20260918-112628,log_195710.txt,1.0211,1.5696,0.000842
0028_20260917_dino_lr_half,137,20260918-113315,log_195710.txt,1.0336,1.5726,0.00084
0028_20260917_dino_lr_half,138,20260918-114001,log_195710.txt,1.0415,1.5736,0.000837
0028_20260917_dino_lr_half,139,20260918-114647,log_195710.txt,1.0339,1.573,0.000835
0028_20260917_dino_lr_half,140,20260918-115334,log_195710.txt,1.0248,1.5707,0.000832
0028_20260917_dino_lr_half,141,20260918-120039,log_195710.txt,1.033,1.5713,0.00083
0028_20260917_dino_lr_half,142,20260918-120726,log_195710.txt,1.0399,1.5734,0.000827
0028_20260917_dino_lr_half,143,20260918-121412,log_195710.txt,1.0604,1.5775,0.000825
